All Papers Summary — CKD Machine Learning Research,,,,,,,,,
#,Paper Name,Author(s) & Year,Citation (IEEE Format),Dataset Used,Data Preprocessing Methods,Models Evaluated,Best Performed Model & Metric,Key Findings,Identified Research Gaps
1,Machine Learning Framework for Early Detection of Chronic Kidney Disease Stages Using Optimized Estimated Glomerular Filtration Rate,"Ghosh, Widatalla, & Khandoker (2025)","[1] S. K. Ghosh, N. Widatalla, and A. H. Khandoker, IEEE Access, vol. 13, pp. 78060-78072, 2025.",Integrated demographic parameters with multi-biomarker cohort arrays.,Metaheuristic tuning algorithms and regression-based eGFR boundary parsing.,"XGBoost, Random Forest, SVM, KNN.","XGBoost + Grey Wolf Optimizer (GWO)
(Reduced boundary estimation error by 37.3%).",Proves nature-inspired optimization algorithms drastically improve staging accuracy across variable demographics.,Requires a complete matrix of laboratory values; highly vulnerable to missing clinical input elements.
2,A Chronic Kidney Disease Diagnostic Model Based on An Interpretable Deep Belief Rule Base,"Zhao, Zhang, Duan, Che, & Ma (2025)","[2] Y. Zhao et al., IEEE Access, DOI: 10.1109/ACCESS.2025.3541391, 2025.",Expert rule matrices mapped against benchmark clinical lines.,Evidential reasoning rule-base initialization arrays.,"Deep Belief Rule Base (DBRB), Classical Expert Logic Systems.","Interpretable Deep Belief Rule Base (DBRB)
(Maintained total mathematical audit trails).",Establishes an alternative to uninterpretable black-box models by utilizing fully transparent rule logic chains.,Heavily dependent on fixed expert template inputs; struggles to automatically extract complex latent patterns from raw data streams.
3,A Study on the Application of Explainable AI on Ensemble Models for Predictive Analysis of Chronic Kidney Disease,"Jawad, Verma, Amsaad, & Ashraf (2025)","[3] K. M. T. Jawad et al., IEEE Access, vol. 13, pp. 23320-23332, 2025.",Standard clinical laboratory marker database profiles.,Standard missing value corrections and feature scaling parameters.,"Multi-Biomarker Ensembles, SHAP Framework, LIME Architecture.","Optimized Multi-Biomarker Ensemble + SHAP Integration
(Peak interpretability scores).",Successfully utilizes SHAP and LIME to generate visual tracking explanations for specific diagnostic parameters.,Post-hoc interpretability models act as a separate approximation layer rather than providing native model transparency.
4,Artificial intelligence in chronic kidney diseases: methodology and potential applications,Simeri et al. (2025),"[4] A. Simeri et al., International Urology and Nephrology, vol. 57, pp. 159-168, 2025.",Systematic global clinical profiles and progressive cardiovascular cohort records.,Longitudinal data structuring and cross-study harmonization protocols.,"Deep Learning (DL), Recurrent Architectures, Traditional Predictive Regressions.","Multi-Modal Deep Learning Frameworks
(High timeline tracking precision).",Validates the superiority of deep learning networks over static traditional equations in tracing cardiovascular risk factors in renal patients.,"Lacks integration with optimized feature selection techniques, limiting performance on lower-resource hospital databases."
5,Synergistic Feature Engineering and Ensemble Learning for Early Chronic Disease Prediction,Al-Jamimi (2024),"[5] H. A. Al-Jamimi, IEEE Access, vol. 12, pp. 33955-33965, 2024.","Multi-disease benchmark databases, including kidney disease rows.",Recursive Feature Elimination (RFE) driven by Support Vector Machines.,"XGBoost, SVM, Random Forest, Naïve Bayes.","SVM-RFE Feature Selector + XGBoost Classifier
(Minimized attribute overhead).",Proves that automated supervised wrapper methods remove computational noise and drop training pipeline delay.,Label-dependent feature subsets fail to scale effectively when faced with diverse patient variations or massive missingness values.
6,ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application,Halder et al. (2024),"[6] R. K. Halder et al., Journal of Pathology Informatics, vol. 15, p. 100371, 2024.",ML-CKDP medical records database array.,Outlier value clipping and multi-stage data clearing protocols.,"Random Forest, AdaBoost, Decision Trees, Logistic Regression.","Hybrid RF-AdaBoost Ensemble
(Maximized stability across remote web client deployments).",Effectively binds an advanced boosting ensemble with an operational web app engine for real-time inference.,The deployment remains vulnerable to performance drops when exposed to abrupt real-world laboratory value variances.
7,Application of Machine Learning in Chronic Kidney Disease: Current Status and Future Prospects,"Delrue, De Bruyne, & Speeckaert (2024)","[7] C. Delrue et al., Biomedicines, vol. 12, pp. 1-18, 2024.",Narrative overview of multiple clinical and hospital data clusters.,Systematic validation and data extraction tracking models.,"Clinical Evaluation Systems, Data Sharing Architectures, Basic Machine Classifiers.",Interdisciplinary Precision Diagnostic Systems.,Identifies that data-sharing and usage policy friction between clinical staff and engineers is the main blocker for real-world deployment.,Does not present a distinct machine learning code file; focuses purely on policy and high-level software issues.
8,"Screening, identifying, and treating chronic kidney disease: why, who, when, how, and what?",Farrell & Vassalotti (2024),"[8] D. R. Farrell and J. A. Vassalotti, BMC Nephrology, vol. 25, p. 34, 2024.",Global medical and epidemiological staging guidance arrays.,C-G-A risk mapping templates and clinical category charting.,Clinical Decision Rubrics (The verified medical baseline).,C-G-A Medical Stratification Framework.,"Outlines the exact biological rules, diagnostic cut-offs, and staging frameworks required for validated renal evaluation.",Contains zero machine learning source scripts; serves strictly as the target clinical rule model.
9,Data-Driven Early Diagnosis of Chronic Kidney Disease: Development and Evaluation of an Explainable AI Model,Moreno-Sánchez (2023),"[9] P. A. Moreno-Sánchez, IEEE Access, vol. 11, pp. 32640-32652, 2023.",Heavily trimmed clinical feature collection tables.,Aggressive target-driven value filtering and data reduction.,"XGBoost, SHAP Attribution Models.","3-Feature XGBoost Architecture
(High sensitivity scores).","Proves that accurate diagnostic screenings can run efficiently on only three primary patient markers: Hemoglobin, SG, and Hypertension.",Over-compression of the data space discards broader biological parameters needed to handle complex medical histories.
10,Chronic kidney disease prediction based on machine learning algorithms,"Islam, Majumder, & Hussein (2023)","[10] M. A. Islam et al., Journal of Pathology Informatics, vol. 14, p. 100189, 2023.",UCI Machine Learning Repository tabular medical dataset.,Mean/mode column imputation and data scaling.,"Random Forest, Naïve Bayes, KNN, Decision Tree, Logistic Regression, XGBoost.","XGBoost Classifier
(Achieved peak accuracy bounds across tabular evaluations).",Confirms that gradient boosted tree configurations outperform traditional individual classifiers on standard diagnostic data tables.,"Relies entirely on static snapshot evaluations, ignoring the long-term progressive timelines of real kidney deterioration."
11,Chronic Kidney Disease Prediction Using Machine Learning Algorithms and the Important Attributes for the Detection,Shukla & Pillai (2023),"[11] G. Shukla and S. K. Pillai, IEEE IAS GlobConET, pp. 1-6, 2023.",Standard medical tracking benchmark rows.,Feature importance ranking filters and attribute scoring matrices.,"Random Forest, SVM, KNN, Naïve Bayes.",Optimized Feature Importance Architecture.,Identifies that prioritizing specific high-impact statistical features significantly drops computer processing times.,"Fails to account for messy medical charts, as the models are built under idealized data conditions."
12,Chronic Kidney Disease Prediction Using Machine Learning Algorithms,"Santhiya, Murugan, & Navaz (2024)","[12] K. Santhiya et al., IEEE ICIETDW, 2024.",Multi-attribute tabular patient diagnostic entries.,Standard column cleaning and basic feature formatting.,"Decision Tree, KNN, Gradient Boosting, Random Forest, SVM.","Gradient Boosting System
(High baseline precision scores).","Highlights that computer-aided diagnosis frameworks are necessary to detect early, asymptomatic kidney damage.","Evaluated purely on static, single-point medical records without any longitudinal context."
13,Machine learning algorithms' accuracy in predicting kidney disease progression: a systematic review and meta-analysis,Lei et al. (2022),"[13] N. Lei et al., BMC Medical Informatics and Decision Making, vol. 22, p. 205, 2022.",Consolidated data profiles extracted across multiple database sources.,QUADAS-2 quality verification tools and systematic data alignment checks.,"Logistic Regression, Deep Neural Nets, Tree-based Classifiers.",Pooled Ensemble Learning Configurations.,Highlights that variations in prediction accuracy across published works stem from poor feature handling and diverse cohort formats.,The performance statistics remain heavily dependent on well-regulated laboratory validation environments.
14,Clinical Impact of the Refit CKD-EPI 2021 Creatinine-Based eGFR Equation,"Meeusen, Kasozi, Larson, & Lieske (2022)","[14] J. W. Meeusen et al., Clinical Chemistry, vol. 68, no. 4, pp. 534-539, 2022.","Large cohort containing 33,889 patients with measured iothalamate clearance records.",Statistical bias evaluation frameworks and P30 index checks.,2021 eGFR Refit Equations vs. 2009 Clinical Benchmarks.,"Refit 2021 CKD-EPI eGFR Equation
(Eliminated race coefficients securely).",Proves that removing the historic race coefficient establishes a fairer diagnostic standard while accurately preserving evaluation boundaries.,Fails to integrate automated machine learning routines to adapt to non-linear patient anomalies.
15,Prediction of Chronic Kidney Disease - A Machine Learning Perspective,Chittora et al. (2021),"[15] P. Chittora et al., IEEE Access, vol. 9, pp. 17320-17334, 2021.",Multi-attribute diagnostic health parameters.,Basic attribute value cleaning and data formatting steps.,"SVM, Random Forest, C5.0, Naïve Bayes, Decision Trees.",Optimized C5.0 Tree Framework.,"Demonstrates that shallow, tree-based models offer strong foundational accuracy for standard tabular medical records.",Completely ignores structural missingness anomalies and clinical data imbalances.
16,Comprehensive Performance Assessment of Deep Learning Models in Early Prediction and Risk Identification of Chronic Kidney Disease,Akter et al. (2021),"[16] S. Akter et al., IEEE Access, DOI: 10.1109/ACCESS.2021.3129491, 2021.",Longitudinal patient data tables containing explicit time fields.,Time-series conversion frameworks and sequential vector alignment.,"ANN, LSTM, GRU, Bidirectional LSTM, Bidirectional GRU, Simple RNN.",Bidirectional LSTM (BiLSTM) & GRU Sequential Networks.,Demonstrates that recurrent neural structures trace progressive renal decay over timelines significantly better than static models.,Fails to combine sequential deep learning networks with streamlined feature optimization methods.
17,A Comprehensive Unsupervised Chronic Kidney Disease Prediction Framework,Antony et al. (2021),"[17] L. Antony et al., IEEE Access, DOI: 10.1109/ACCESS.2021.3109168, 2021.",Unlabeled multi-variant patient risk data profiles.,Principal Component Analysis (PCA) and Pearson Correlation matrices.,"Unsupervised K-Means, Hierarchical Clustering Engines.",PCA-Driven Unsupervised Pattern Classifier.,"Groups complex, unlabelled renal risk sub-types accurately without requiring hard diagnostic target tags.",Blending clinical features into abstract principal components reduces clinical interpretability.
18,An Empirical Evaluation of Machine Learning Techniques for Chronic Kidney Disease Prophecy,"Khan, Naseem, Muhammad, Abbas, & Kim (2020)","[18] B. Khan et al., IEEE Access, vol. 8, pp. 29810-29822, 2020.",Foundational clinical biomarker tracking lists.,Basic attribute format mappings and record cleaning rows.,"SVM, KNN, Naïve Bayes, Decision Trees.","Shallow Decision Tree Classifiers
(High baseline tracking scores).","Confirms that uncomplicated, shallow baseline scripts deliver fast results on clean, tightly restricted data pools.",Highly sensitive to data noise; performance drops significantly when records are messy or incomplete.
19,Chronic Kidney Disease Prediction Using Machine Learning Methods,Ekanayake & Herath (2020),"[19] I. U. Ekanayake and D. Herath, IEEE MERCon, pp. 1-6, 2020.","Incomplete, messy patient health record databases.",Detailed tracking of data degradation across variable imputation techniques.,"Common Machine Classifiers, Data Substitution Frameworks.",Imputation-Stabilized Diagnostic Architecture.,Establishes that standard data-filling shortcuts significantly lower final prediction accuracy in clinical models.,Lacks advanced feature engineering options to balance information loss against missing clinical entries.
